Unnamed: 0,Unit ID,Plant name,State,Region,Ownership,Age grouping,Age,Capacity,Avg daily generation,Actual avg PLF,Target PLF,Coeff of variation,Daily actual coal consumption - calc (tons/MW),Annual actual coal consumption (tons),Daily target coal consumption at 85%(tons/MW),Daily target generation,Not contracted in MERIT,Import share,Imported coal,Target SHR,Actual SHR,Efficiency,Actual coal used,Plant status,Wtd GCV,Pithead plant,Total,Auxiliary consumption (%),"Actual aux, MU",VC  - ACTUAL,Variation,TOTAL VC - ACTUAL,TOTAL VC - TARGET,INR/Mcal,FGD status - Jun 2020,Retirement by 2022,Retirement by 2027,Actual coal cost (INR crore),Target coal cost (INR crore),wtd PLF,FGD status - Feb 2021,Actual energy,Actual energy-coal cost,Actual energy-transport cost,Actual SHR.1,Actual INR/Mcal,Actual-cons,Actual age,Actual aux,Boiler design,bws_score,coal_price,avg_max_temp
60,MAHAN TPP2,MAHAN TPP,Madhya Pradesh,WR,PVT SECTOR, 0-5 years,1.67008898015058,600.0,4.72459152936628,0.3280966339837695,0.85,0.15,4.05288831605265,887582.5412155304,11.31428641844627,12.24,Not contracted,0.0,0.0,2594.141476646133,2766.667698634157,0.3315162290654484,949407.5531313196,Operational,3015176.218014481,N,887582.5412155304,0.0929209554053553,0.4390135588087636,1.841787298100681,0.1980561421540984,317.6117823637823,814.9364172685849,0.5249367620772207,Unknown,N,N,293.8416376941434,713.7845519479677,196.8579803902617,Unknown,250.45004795744447,212.10863934616415,38.34140861128028,1339815.9142876694,4689358.151121025,3079221.819419532,58425.12023903484,1241110.6473489625,1,0.480175605372469,1.72,44.63
63,RAYALSEEMA TPS6,RAYALSEEMA TPS,Andhra Pradesh,SR,STATE SECTOR, 0-5 years,2.11635865845311,600.0,4.78788476503875,0.3324919975721354,0.85,0.15,5.017929020326895,1098926.4554515898,12.218173110506502,12.24,Contracted,0.0,0.0,2597.551216635181,2768.624458007363,0.3310810560701967,1305599.9441140855,Operational,2223523.544098197,N,1098926.4554515898,0.103628597901334,0.496161785114124,3.216104829158135,0.1124668586108311,562.0393849717232,1428.9930536398565,1.2339235495312717,Commitment yet to be received,N,N,404.0831827033095,969.1892156694488,199.4951985432812,Feasibility Study completed,597.0199691710934,198.7409615793375,398.279007591756,1358725.1234172296,11170538.00275882,3120472.7743630325,75028.92016462638,1402671.197636173,1,0.3737469423015516,3.43,41.83
65,SINGARENI TPP2,SINGARENI TPP,Telangana,SR,STATE SECTOR, 0-5 years,3.42505133470225,600.0,12.4542142300969,0.8648759882011736,0.85,0.15,12.466600037666083,2730185.4082488725,12.259625951026694,12.24,Contracted,0.0,0.0,2607.550331449692,2602.632758178844,0.3298114669648102,2760386.669484126,Operational,0.0,N,0.0,0.0580575634437099,0.7230613328054057,1.9523067353064048,0.0053256848554029,887.4772908393973,872.437747006524,0.6375348326737894,NIT issued,N,N,854.3396742053369,841.2313884537675,518.9255929207042,NIT issued,754.2685612663217,444.6093540117375,309.6592072545842,3322408.958094298,15012824.174534624,8116953.172073159,315848.74418263405,2044126.202539525,1,0.2502061636335578,2.04,44.41
67,AKALTARA TPS2,AKALTARA TPS,Chhattisgarh,WR,PVT SECTOR, 0-5 years,2.33812457221081,600.0,9.14718773223809,0.6352213702943118,0.85,0.15,8.347166937140628,1828029.5592337972,11.335446445824775,12.24,Contracted,0.0438317109398562,80125.6632298486,2609.127731993557,2680.127361349723,0.3296120728220919,2091318.9888804336,Operational,2567242.293955293,N,1828029.5592337968,0.0800306361552132,0.7320552532421764,1.8171251665440429,0.0826121481204397,606.6878536443759,808.5675604780726,0.5332419280097856,Feasiblity Study Completed,N,N,666.8431037551115,868.6751501690684,381.1328221765871,Feasiblity Study Completed,477.1557693965781,375.3535197704496,101.8022496261285,2512851.882358817,9222613.968226958,5961620.147765916,158361.99927476168,2069552.4113467752,1,0.1399765094174352,1.59,43.4
69,ANPARA TPS7,ANPARA TPS,Uttar Pradesh,NR,STATE SECTOR, 0-5 years,4.17522245037645,600.0,7.26843897893603,0.5047527068705576,0.85,0.15,7.479858457617803,1638089.0022182988,12.283387621115674,12.24,Contracted,0.0,0.0,2613.282041615332,2727.410853601883,0.329088091642957,1611841.6482311497,Operational,2693478.136999966,Pithead plant,1638089.0022182988,0.0932557702539878,0.6778238755247881,1.586202628039437,0.1521280534131714,420.8164208698404,703.4255968284799,0.381580092474563,Bid Awarded,N,N,498.8649901275408,804.9316705041193,302.85162412233456,Bid Awarded,276.1024666306423,273.02936679401347,3.07309983662884,2031961.9843890443,5244076.348426079,4737157.859668194,224706.9501431511,1916237.9203590988,1,0.5913331785557139,2.04,44.53
70,SEIONI TPP1,SEIONI TPP,Madhya Pradesh,WR,PVT SECTOR, 0-5 years,4.17522245037645,600.0,6.94086002648445,0.4820041685058646,0.85,0.15,6.27360011878832,1373918.426014642,11.393636521115674,12.24,Contracted,0.0,0.0,2613.282041615332,2734.9308652273457,0.329088091642957,1776307.8823728918,Operational,2340375.325032613,N,1373918.426014642,0.065611235962542,0.4553984049806469,2.235251723351908,0.1150678906220028,566.2817807546464,993.0504075099158,0.7657753388522778,Feasibility Study completed,N,N,549.76728959441,926.375283952156,289.2025011035187,Feasibility Study completed,530.5836699926385,272.55926393770574,258.02440605493274,1945734.162559639,10049785.923616294,4523660.406671068,214579.7044512216,1287431.328410108,1,0.480175605372469,1.72,44.63
71,SINGARENI TPP1,SINGARENI TPP,Telangana,SR,STATE SECTOR, 0-5 years,4.17522245037645,600.0,12.5501244380881,0.8715364193116736,0.85,0.15,12.58303028392478,2755683.632179527,12.283387621115674,12.24,Contracted,0.0,0.0,2613.282041615332,2606.1627216397683,0.329088091642957,2785417.232572839,Operational,0.0,N,0.0,0.0580575634437099,0.7286296457907542,1.9582231985871583,0.0076868604729764,897.0219859234206,875.1818105085082,0.6375348326737894,NIT issued,N,N,862.0866334812937,843.0805165195621,522.9218515870042,NIT issued,761.1080982838433,448.640971251616,312.4671270322273,3352535.8124047588,15128438.300204253,8179462.026715072,387992.5517119244,2059868.0683548767,1,0.2502061636335578,2.04,44.41
72,ANUPPUR TPP2,ANUPPUR TPP,Madhya Pradesh,WR,PVT SECTOR, 0-5 years,4.17522245037645,600.0,9.1933028096474,0.638423806225514,0.85,0.15,8.449913464273118,1850531.0486758128,11.393636521115674,12.24,Not contracted,0.002923442353371,5409.920843927098,2613.9411480651765,2683.882144332641,0.329005111930912,2131858.2045941115,Operational,2534666.3881835435,N,1850531.0486758128,0.0679652231684333,0.6248248771126709,1.8442009664712349,0.0801855746162847,618.8318743214276,820.7124227327124,0.5582038336861919,Technical Bid under evaluation,N,N,661.1413473933229,857.3073271577524,383.0542837353084,Bid opened,502.7136591034927,345.07315612363465,157.64050297985804,2529058.478971215,9703011.10262726,5991675.349719431,284214.9520804983,1766407.4198921134,1,0.480175605372469,1.72,44.63
73,RAGHUNATHPUR TPP2,RAGHUNATHPUR TPP,West Bengal,ER,CENTRAL SECTOR, 0-5 years,4.33949349760438,600.0,5.67032270052576,0.3937724097587333,0.85,0.15,5.940959575232803,1301070.146975984,12.28859090653662,12.24,Contracted,0.0,0.0,2614.537160629706,2765.352862608869,0.328930111589185,1208172.0356029705,Operational,2842324.55336846,N,1301070.1469759836,0.0788994545749654,0.4473853683355275,1.962269587980265,0.1625026934020585,406.1246153085676,869.7572727669016,0.5992396863209807,Bid Awarded,N,N,373.9292450191194,763.145483251014,236.26344585524,Bid Awarded,342.96654912697625,277.8978209199296,65.06872820704672,1607245.4189610337,6424665.066880562,3695595.962970111,182197.55929124745,1264778.1212407432,1,0.0774651127780802,1.99,38.17
74,KAKATIYA TPS2,KAKATIYA TPS,Telangana,SR,STATE SECTOR, 0-5 years,4.42436687200547,600.0,11.2045735285322,0.7780953839258471,0.85,0.15,11.290848775846262,2472695.8819103315,12.291279270670774,12.24,Contracted,0.0,0.0,2615.185638787132,2638.955234008304,0.3288485479749154,2518071.4663210665,Operational,0.0,Pithead plant,0.0,0.0576266983955386,0.6456825793793615,1.8986557937949329,0.0264696515321713,776.4874383136382,847.1549837388204,0.6039216229589296,Feasiblity Study completed,N,N,779.3431188263701,843.6946429939686,466.85723035550825,Feasibility Study completed,651.7796519375577,405.58018207124087,246.1994698663168,3030757.71568997,12794345.041657614,7302507.967492926,367064.3442636516,1825373.061938948,1,0.2502061636335578,2.04,44.41
75,ANPARA TPS6,ANPARA TPS,Uttar Pradesh,NR,STATE SECTOR, 0-5 years,4.92539356605065,600.0,9.51705205784204,0.6609063929056972,0.85,0.15,9.676233207619491,2119095.072468669,12.307149291204654,12.24,Contracted,0.0,0.0,2619.013751780972,2681.522652390464,0.3283678825340975,2074983.1533832808,Operational,2693478.136999966,Pithead plant,2119095.072468669,0.0932557702539878,0.8875200202013591,1.587053729441276,0.0832765850245678,551.2986631015018,706.169660330464,0.381580092474563,Bid Awarded,N,N,642.2072859721253,806.697126725455,396.5438357434183,Bid Awarded,355.4368802263341,351.4807655567153,3.9561146696187737,2615819.544400978,6866419.013477756,6202676.817860174,347087.6181250162,2509058.147990131,1,0.5913331785557139,2.04,44.53
76,KALISINDH TPS2,KALISINDH TPS,Rajasthan,NR,STATE SECTOR, 0-5 years,4.92539356605065,600.0,5.92843178800818,0.4116966519450125,0.85,0.15,6.208903318711197,1359749.8267977522,12.307149291204654,12.24,Contracted,0.0,0.0,2619.013751780972,2763.9042155115267,0.3283678825340975,1262234.598635726,Operational,2842934.475511074,N,1359749.8267977522,0.0673386492052419,0.3992125885098881,2.4293995736949348,0.1260995475204368,525.6923325340299,1078.723599027382,0.8613652481595724,NIT issued,N,N,390.6616082777572,764.2881300052109,247.0179911670075,Bid opened,515.161057637129,232.0246707725944,283.1363868645347,1679525.8050504555,9655378.91145715,3863816.8830277096,216210.36178118412,1128591.5530713482,1,0.7332776481482451,2.8,45.46
77,BARADARHA TPS2,BARADARHA TPS,Chhattisgarh,WR,PVT SECTOR, 5-10 years,5.1772758384668,600.0,8.53633331487965,0.5928009246444201,0.85,0.15,7.846888667038648,1718468.6180814642,11.425376562183436,12.24,Contracted,0.0,0.0,2620.938267603012,2705.960874582196,0.3281267669026466,2067229.7017245064,Operational,2447080.4979040544,N,1718468.6180814635,0.0578184347565399,0.4935574308264473,1.856533163963692,0.0968287627046264,578.4514852668598,825.5313245932819,0.5747762311977415,NIT issued,N,N,639.8075926837347,888.5762925776014,355.68055478665207,Bid Awarded,484.60126354498817,331.4019879365256,153.19927560846267,2367645.856151829,9277101.605911748,5563499.751806266,327241.5237146605,1395308.573473323,1,0.1399765094174352,1.59,43.4
78,ANUPPUR TPP1,ANUPPUR TPP,Madhya Pradesh,WR,PVT SECTOR, 0-5 years,5.0924024640657,600.0,8.8103325777575,0.6118286512331597,0.85,0.15,8.108938771251603,1775857.5909041013,11.42268819804928,12.24,Contracted,0.002923442353371,5191.617294804608,2620.9488958954294,2699.6814844629025,0.3281254363054595,2055077.194229856,Operational,2534666.3881835435,N,1775857.590904101,0.0679652231684333,0.5987962198354071,1.8526116582459489,0.0898551170906268,595.7575569000833,824.0673908829488,0.5582038336861919,Technical Bid under evaluation,N,N,637.3296789919955,859.605693196405,367.0971907398958,Bid opened,484.6079227150696,332.645000480047,151.96292223502263,2437971.902543554,9298807.685319614,5742076.990391695,332208.5149457354,1692823.2605083685,1,0.480175605372469,1.72,44.63
