 year,Latitude,Longitude,Maximum Temperature
2020,8.5,67.5,
2020,8.5,68.5,
2020,8.5,69.5,36.327
2020,8.5,70.5,36.3126
2020,8.5,71.5,36.2883
2020,8.5,72.5,36.1236
2020,8.5,73.5,36.1605
2020,8.5,74.5,36.8513
2020,8.5,75.5,36.223
2020,8.5,76.5,36.3281
2020,8.5,77.5,36.4872
2020,8.5,78.5,36.7241
2020,8.5,79.5,37.0387
2020,8.5,80.5,36.463
2020,8.5,81.5,36.247
2020,8.5,82.5,35.4761
2020,8.5,83.5,35.4771
2020,8.5,84.5,
2020,8.5,85.5,
2020,8.5,86.5,
2020,8.5,87.5,
2020,8.5,88.5,
2020,8.5,89.5,34.7329
2020,8.5,90.5,34.7287
2020,8.5,91.5,34.2561
2020,8.5,92.5,33.9911
2020,8.5,93.5,33.9798
2020,8.5,94.5,33.9633
2020,8.5,95.5,34.4427
2020,8.5,96.5,34.5814
2020,8.5,97.5,
2020,9.5,67.5,
2020,9.5,68.5,
2020,9.5,69.5,36.3534
2020,9.5,70.5,36.3508
2020,9.5,71.5,36.0077
2020,9.5,72.5,36.0722
2020,9.5,73.5,36.112
2020,9.5,74.5,36.899
2020,9.5,75.5,37.8714
2020,9.5,76.5,37.8719
2020,9.5,77.5,34.6319
2020,9.5,78.5,39.6581
2020,9.5,79.5,36.9589
2020,9.5,80.5,36.3373
2020,9.5,81.5,35.4764
2020,9.5,82.5,35.4772
2020,9.5,83.5,35.4451
2020,9.5,84.5,
2020,9.5,85.5,
2020,9.5,86.5,
2020,9.5,87.5,
2020,9.5,88.5,34.5229
2020,9.5,89.5,34.0677
2020,9.5,90.5,34.0716
2020,9.5,91.5,34.077
2020,9.5,92.5,34.2556
2020,9.5,93.5,34.2545
2020,9.5,94.5,34.2521
2020,9.5,95.5,33.9702
2020,9.5,96.5,34.476
2020,9.5,97.5,
2020,10.5,67.5,
2020,10.5,68.5,
2020,10.5,69.5,36.3809
2020,10.5,70.5,36.392
2020,10.5,71.5,35.8769
2020,10.5,72.5,36.0906
2020,10.5,73.5,36.1135
2020,10.5,74.5,36.4946
2020,10.5,75.5,37.5756
2020,10.5,76.5,38.0117
2020,10.5,77.5,34.2937
