Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years)
G107820,L102243,P100017,https://www.gem.wiki/Adani_Godda_power_station,India,Jharkhand,Unit 1,Adani Godda power station,,Paraspani power station,Adani Power,Adani Group,800,construction,2023,,,ultra-super,unknown,imported,"Motia, Gangta, Gayghat & other adjacent villages",Godda & Poraiyahaat Tehsils,Godda,Southern Asia,Asia,South Asia,24.81410735,87.1354647,exact,ToR 26 July 2016 at http://bit.ly/2qfw1uk; EC 31 Aug 2017 at http://bit.ly/2qbHxa5,,,,,8272,"96,100",53%,3.1,124.6,40
G107821,L102243,P100017,https://www.gem.wiki/Adani_Godda_power_station,India,Jharkhand,Unit 2,Adani Godda power station,,Paraspani power station,Adani Power,Adani Group,800,construction,2023,,,ultra-super,unknown,imported,"Motia, Gangta, Gayghat & other adjacent villages",Godda & Poraiyahaat Tehsils,Godda,Southern Asia,Asia,South Asia,24.81410735,87.1354647,exact,ToR 26 July 2016 at http://bit.ly/2qfw1uk; EC 31 Aug 2017 at http://bit.ly/2qbHxa5,,,,,8272,"96,100",53%,3.1,124.6,40
G100034,L102121,P100097,https://www.gem.wiki/Adani_Korba_West_power_station,India,Chhattisgarh,Unit 1,Adani Korba West power station,,,Korba West Power Company,Avantha Group,600,operating,2014,,,subcritical,bituminous,,Kirodimalnagar,Raigarh,Raigarh,Southern Asia,Asia,South Asia,21.7437751,83.2740927,exact,,,,,,8702,"94,600",53%,2.4,77.4,32
G100035,L102121,P100097,https://www.gem.wiki/Adani_Korba_West_power_station,India,Chhattisgarh,Unit 2,Adani Korba West power station,,,Korba West Power Company,Avantha Group,800,cancelled,,,,supercritical,bituminous,Domestic,Kirodimalnagar,Raigarh,Raigarh,Southern Asia,Asia,South Asia,21.7437751,83.2740927,exact,ToR 11 Mar 2016 at http://bit.ly/20Ml3nf,,,,,8409,"94,600",53%,3.1,124.7,40
G100036,L102121,P100097,https://www.gem.wiki/Adani_Korba_West_power_station,India,Chhattisgarh,Unit 3,Adani Korba West power station,,,Korba West Power Company,Avantha Group,800,cancelled,,,,supercritical,bituminous,Domestic,Kirodimalnagar,Raigarh,Raigarh,Southern Asia,Asia,South Asia,21.7437751,83.2740927,exact,ToR 11 Mar 2016 at http://bit.ly/20Ml3nf,,,,,8409,"94,600",53%,3.1,124.7,40
G100039,L102591,P101270,https://www.gem.wiki/Adilibad_power_station_(Shalivahana_Power_Corp.),India,Telangana,,Adilibad power station (Shalivahana Power Corp.),,,Shalivahana Power Corp,Shalivahana Power Corp,300,cancelled,,,,unknown,unknown,,Achalapur,,Adilabad,Southern Asia,Asia,South Asia,19.159958,79.530837,approximate,,,,,,9466,"96,100",53%,1.3,53.5,40
G100041,L102441,P100020,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 1,Aditya Aluminium power station,,,Hindalco Industries Ltd,Aditya Birla Group,150,operating,2014,,,subcritical,unknown,,Lapanga,Rengali,Sambalpur,Southern Asia,Asia,South Asia,21.7400679,84.0605915,exact,,aluminum,power,,,10442,"96,100",53%,0.7,23.6,32
G100042,L102441,P100020,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 2,Aditya Aluminium power station,,,Hindalco Industries Ltd,Aditya Birla Group,150,operating,2014,,,subcritical,unknown,,Lapanga,Rengali,Sambalpur,Southern Asia,Asia,South Asia,21.7400679,84.0605915,exact,,aluminum,power,,,10442,"96,100",53%,0.7,23.6,32
G100043,L102441,P100020,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 3,Aditya Aluminium power station,,,Hindalco Industries Ltd,Aditya Birla Group,150,operating,2014,,,subcritical,unknown,,Lapanga,Rengali,Sambalpur,Southern Asia,Asia,South Asia,21.7400679,84.0605915,exact,,aluminum,power,,,10442,"96,100",53%,0.7,23.6,32
G100044,L102441,P100020,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 4,Aditya Aluminium power station,,,Hindalco Industries Ltd,Aditya Birla Group,150,operating,2014,,,subcritical,unknown,,Lapanga,Rengali,Sambalpur,Southern Asia,Asia,South Asia,21.7400679,84.0605915,exact,,aluminum,power,,,10442,"96,100",53%,0.7,23.6,32
G100045,L102441,P100020,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 5,Aditya Aluminium power station,,,Hindalco Industries Ltd,Aditya Birla Group,150,operating,2014,,,subcritical,unknown,,Lapanga,Rengali,Sambalpur,Southern Asia,Asia,South Asia,21.7400679,84.0605915,exact,,aluminum,power,,,10442,"96,100",53%,0.7,23.6,32
G100046,L102441,P100020,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 6,Aditya Aluminium power station,,,Hindalco Industries Ltd,Aditya Birla Group,150,operating,2014,,,subcritical,unknown,,Lapanga,Rengali,Sambalpur,Southern Asia,Asia,South Asia,21.7400679,84.0605915,exact,,aluminum,power,,,10442,"96,100",53%,0.7,23.6,32
G100049,L102658,Q200300,https://www.gem.wiki/Adra_Purulia_power_station,India,West Bengal,Unit 1,Adra Purulia power station,,,"Indian Railways, NTPC","NTPC, Indian Railways",660,cancelled,,,,unknown,unknown,,Adra,,Purulia,Southern Asia,Asia,South Asia,23.5,86.67,approximate,TOR 8 Sept 2010 at http://bit.ly/1n4WmhR,,,,,8605,"96,100",53%,2.7,106.9,40
G100050,L102658,Q200300,https://www.gem.wiki/Adra_Purulia_power_station,India,West Bengal,Unit 2,Adra Purulia power station,,,"Indian Railways, NTPC","NTPC, Indian Railways",660,cancelled,,,,unknown,unknown,,Adra,,Purulia,Southern Asia,Asia,South Asia,23.5,86.67,approximate,TOR 8 Sept 2010 at http://bit.ly/1n4WmhR,,,,,8605,"96,100",53%,2.7,106.9,40
G100086,L102519,P101328,https://www.gem.wiki/Ajmer_power_station,India,Rajasthan,Unit 1,Ajmer power station,,,Shree Cement,Shree Cement,150,operating,2011,,,subcritical,unknown,,Andheri Deori,Masuda,Ajmer,Southern Asia,Asia,South Asia,26.073889,74.385,exact,EC 30 Nov 2010 at http://bit.ly/TOSMk5,cement & building,power,,,11313,"96,100",53%,0.8,23.2,29
G100087,L102519,P101328,https://www.gem.wiki/Ajmer_power_station,India,Rajasthan,Unit 2,Ajmer power station,,,Shree Cement,Shree Cement,150,operating,2012,,,subcritical,unknown,,Andheri Deori,Masuda,Ajmer,Southern Asia,Asia,South Asia,26.073889,74.385,exact,EC 30 Nov 2010 at http://bit.ly/TOSMk5,cement & building,power,,,11313,"96,100",53%,0.8,24,30
G100094,L102193,P100604,https://www.gem.wiki/Akrimota_Power_Project,India,Gujarat,Unit 1,Akrimota Power Project,,,Gujarat Mineral Development Corp Ltd,Gujarat Mineral Development Corporation,125,operating,2007,,,subcritical,lignite,,Chher Moti,Lakhpat,Kutch,Southern Asia,Asia,South Asia,23.7724998,68.6455556,exact,,,,,,11313,"101,000",53%,0.7,17.5,25
G100095,L102193,P100604,https://www.gem.wiki/Akrimota_Power_Project,India,Gujarat,Unit 2,Akrimota Power Project,,,Gujarat Mineral Development Corp Ltd,Gujarat Mineral Development Corporation,125,operating,2006,,,subcritical,lignite,,Chher Moti,Lakhpat,Kutch,Southern Asia,Asia,South Asia,23.7724998,68.6455556,exact,,,,,,11313,"101,000",53%,0.7,16.8,24
G100096,L102193,P100604,https://www.gem.wiki/Akrimota_Power_Project,India,Gujarat,Unit 3,Akrimota Power Project,,,Gujarat Mineral Development Corp Ltd,Gujarat Mineral Development Corporation,250,cancelled,,,,subcritical,lignite,,Nani Chher,,Kutchh,Southern Asia,Asia,South Asia,23.6626,68.7843,exact,,,,,,10442,"101,000",53%,1.3,51.7,40
G100146,L102609,Q200283,https://www.gem.wiki/Amauli_Fatehpur_power_station,India,Uttar Pradesh,Unit 1,Amauli Fatehpur power station,,,"Uttar Pradesh Power Corporation, Neyveli Lignite Corp Ltd","NLC India, UPPCL",660,cancelled,,,,unknown,unknown,,Amauli,Amauli,Fatehpur,Southern Asia,Asia,South Asia,26.013576,80.307383,approximate,,,,,,8605,"96,100",53%,2.7,106.9,40
G100147,L102609,Q200283,https://www.gem.wiki/Amauli_Fatehpur_power_station,India,Uttar Pradesh,Unit 2,Amauli Fatehpur power station,,,"Uttar Pradesh Power Corporation, Neyveli Lignite Corp Ltd","NLC India, UPPCL",660,cancelled,,,,unknown,unknown,,Amauli,Amauli,Fatehpur,Southern Asia,Asia,South Asia,26.013576,80.307383,approximate,,,,,,8605,"96,100",53%,2.7,106.9,40
G100148,L102609,Q200283,https://www.gem.wiki/Amauli_Fatehpur_power_station,India,Uttar Pradesh,Unit 3,Amauli Fatehpur power station,,,"Uttar Pradesh Power Corporation, Neyveli Lignite Corp Ltd","NLC India, UPPCL",660,cancelled,,,,unknown,unknown,,Amauli,Amauli,Fatehpur,Southern Asia,Asia,South Asia,26.013576,80.307383,approximate,,,,,,8605,"96,100",53%,2.7,106.9,40
G100154,L102194,P100049,https://www.gem.wiki/Ambujanagar_Cement_Plant_power_station,India,Gujarat,Unit 1,Ambujanagar Cement Plant power station,,,Ambuja Cements Ltd,Ambuja Cements,30,operating,2007,,,subcritical,unknown,,Kodinar,,Junagadh,Southern Asia,Asia,South Asia,20.8354547,70.6955395,exact,,cement & building,power,,,11313,"96,100",53%,0.2,4,25
G100155,L102194,P100049,https://www.gem.wiki/Ambujanagar_Cement_Plant_power_station,India,Gujarat,Unit 2,Ambujanagar Cement Plant power station,,,Ambuja Cements Ltd,Ambuja Cements,30,operating,2007,,,subcritical,unknown,,Kodinar,,Junagadh,Southern Asia,Asia,South Asia,20.8354547,70.6955395,exact,,cement & building,power,,,11313,"96,100",53%,0.2,4,25
G114788,L102194,P100049,https://www.gem.wiki/Ambujanagar_Cement_Plant_power_station,India,Gujarat,Unit 3,Ambujanagar Cement Plant power station,,,Ambuja Cements Ltd,Ambuja Cements,30,operating,2010,,,subcritical,unknown,,Kodinar,,Junagadh,Southern Asia,Asia,South Asia,20.8354547,70.6955395,exact,,cement & building,power,,,11313,"96,100",53%,0.2,4.5,28
G100162,L102122,P101946,https://www.gem.wiki/Amoda_power_station,India,Chhattisgarh,,Amoda power station,,,DCM Shriram Consolidated,DCM Shriram,600,cancelled,,,,unknown,unknown,,Amoda,Nawagarh,Janjgir-Champa,Southern Asia,Asia,South Asia,21.848753,82.652278,approximate,ToR issued 12-31-2009 at http://bit.ly/1aJ23RH,,,,,8605,"96,100",53%,2.4,97.2,40
G100166,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 1",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,operating,2013,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 Feb 2009 at http://bit.ly/1i5rhq9,,,,,10442,"96,100",53%,1.3,41.1,31
G100167,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 2",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,operating,2014,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 Feb 2009 at http://bit.ly/1i5rhq9,,,,,10442,"96,100",53%,1.3,42.5,32
G100168,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 3",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,operating,2015,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 Feb 2009 at http://bit.ly/1i5rhq9,,,,,10442,"96,100",53%,1.3,43.8,33
G100169,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 4",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,operating,2015,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 Feb 2009 at http://bit.ly/1i5rhq9,,,,,10442,"96,100",53%,1.3,43.8,33
G100170,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 5",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,operating,2015,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 Feb 2009 at http://bit.ly/1i5rhq9,,,,,10442,"96,100",53%,1.3,43.8,33
G100171,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase II, Unit 1",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,cancelled,,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 May 2011 at http://bit.ly/1mbMkPl,,,,,10442,"96,100",53%,1.3,53.1,40
G100172,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase II, Unit 2",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,cancelled,,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 May 2011 at http://bit.ly/1mbMkPl,,,,,10442,"96,100",53%,1.3,53.1,40
G100173,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase II, Unit 3",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,cancelled,,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 May 2011 at http://bit.ly/1mbMkPl,,,,,10442,"96,100",53%,1.3,53.1,40
G100174,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase II, Unit 4",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,cancelled,,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 May 2011 at http://bit.ly/1mbMkPl,,,,,10442,"96,100",53%,1.3,53.1,40
G100175,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase II, Unit 5",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,270,cancelled,,,,subcritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,EC 27 May 2011 at http://bit.ly/1mbMkPl,,,,,10442,"96,100",53%,1.3,53.1,40
G100176,L102375,P101187,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase III, Unit 1",Amravati Thermal Power Project,,,RattanIndia Power Ltd,RattanIndia Power,660,cancelled,,,,supercritical,unknown,,Nandgaonpeth,Amravati,Amravati,Southern Asia,Asia,South Asia,21.0803156,77.9012418,exact,TOR 2 Dec 2009 at http://bit.ly/1rcTJM8,,,,,8409,"96,100",53%,2.6,104.5,40
