c,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M0464,,India,Adasa Coal Mine,,,,https://www.gem.wiki/Adasa_Coal_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,1.5,0.72,2023,,Surface,Open Pit,5.9,50,Estimate,155,Exact,Subbituminous,Thermal,,,,,22,2020,29,31,2020,,18,2020,Kamptee,Kotodi,Nagpur,Maharashtra,Southern Asia,Asia,21.347003,78.953545,Exact,,,,,,,,,,,0.9,0.00,0.8,1.5,0,0,356
M0465,,India,Adriyala Coal Mine,Adriyala Longwall Project,,,https://www.gem.wiki/Adriyala_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,2.5,1.7,2023,,Underground,Longwall,9.64,620,Exact,1559,Estimate,Subbituminous,Thermal,,,,,109,2024,351,64,2008,,33,2024,Mancherial,,Karimnagar,Telangana,Southern Asia,Asia,18.6648,79.579,Exact,Coal Plant,Ramagundam power station,https://www.gem.wiki/Ramagundam_power_station,,,,,,,,13.9,0.01,5.1,1.6,0.8,0.3,356
M0466,,India,AKK Coal Mine,AMALGAMATED KONAR KHAS MAHAL,,,https://www.gem.wiki/AKK_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,*,5.35,2023,,Surface,Open Pit,-,50,Estimate,951,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,Bokaro,,,Jharkhand,Southern Asia,Asia,23.7905,85.9198,Exact,,,,,,,,,,,6.4,0.00,0.8,1.5,0.4,0.1,356
M0467,,India,Amadand Coal Mine,Amadand OC,,,https://www.gem.wiki/Amadand_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.8,3.32,2023,,Surface,Open Pit,8.84,50,Estimate,563,Estimate,Subbituminous,Thermal,,,,,36,,-,11,2010,,16,,Sohagpur,Amadand,Annuppur,Madhya Pradesh,Southern Asia,Asia,23.157942,82.061533,Exact,,,,,,,,,,,4,0.00,0.8,1.5,0.2,0.1,356
M0468,,India,Amalgamated Keshalpur-West Mudidih (AKWMC) Coal Mine,"Cluster 5, AKWMC",,,https://www.gem.wiki/Cluster_No._5_(BCCL),,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,*,3.14,2023,,Underground & Surface,Mixed,5.8,150,Exact,744,Estimate,Subbituminous,Thermal,,,,,27,2022,-,9,,,20,2018,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.8078,86.3221,Exact,,,,,,,,,,,10,0.01,2,1.6,0.6,0.2,356
M0469,,India,Amalgamated Yekona I and II Coal Mines,,,,https://www.gem.wiki/Amalgamated_Yekona_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,2.1,2.77,2023,,Surface,Open Pit,17,50,Estimate,604,Estimate,Lignite,Thermal,,,,,58,2019,-,21,2021,,25,,Wardha Valley,Warora,Chandrapur,Maharashtra,Southern Asia,Asia,20.228333,78.9166666,Approximate,,,,,,,,,,,3.3,0.00,0.8,1.5,0.2,0.1,356
M0471,,India,Amelia North Coal Mine,,,,https://www.gem.wiki/Amelia_(North)_coal_mine,,Operating,,,,Jaiprakash Power Ventures Ltd [100%],E100001000611 [100%],,Jaiprakash Power Ventures Limited [JPVL],India,2.6,3.92,2023,,Surface,Open Pit,7.28,50,Estimate,701,Estimate,Subbituminous,Thermal,,,,,120,2007,-,31,2015,,-,,Singrauli,,,Madhya Pradesh,Southern Asia,Asia,24.1346,82.4264,Exact,,,,,,,,,,,4.7,0.00,0.8,1.5,0.3,0.1,356
M0472,,India,Amlai Coal Mine,New Amlai,,,https://www.gem.wiki/Amlai_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.2,1.73,2023,,Underground,,7.24,300,Estimate,1507,Estimate,Subbituminous,Thermal,,,,,-,,11,-,,,-,,Sohagpur,Amlai,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.167675,81.59593,Approximate,,,,,,,,,,,9.1,0.01,3.3,1.6,0.5,0.2,356
M0474,,India,Amlohri Coal Mine,,,,https://www.gem.wiki/Amlohri_coal_mine,,Operating,,,Stage 1,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,7.6,15,2023,,Surface,Open Pit,21.75,300,Exact,1697,Estimate,Subbituminous,Thermal,,,,,108,2022,329,7,1982,,-,,Singrauli,Amlohri,Sidhi,Madhya Pradesh,Southern Asia,Asia,24.134,82.593,Exact,Coal Plant,Rihand power station,https://www.gem.wiki/Rihand_power_station,,,,,,,,74.3,0.05,3.3,1.5,4.1,1.5,356
M0475,,India,Amrapali Coal Mine,Magadh Amrapali Area,,,https://www.gem.wiki/Magadh_Amrapali_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,9,22.59,2023,,Surface,Open Pit,24.79,135,Exact,1188,Estimate,Lignite,Thermal,,,,,48,2022,487,2,2014,,4,https://environmentclearance.nic.in/DownloadPfdFile.aspx?FileName=3gL0Jc2zbttDCveCQH6/TrLaDtweAYQn62pz5EA25iVayUeF7WGszLwNkvWDijJvOexKDyovb0nqbTtojjWnBQ1F/XGKMGcJzQCn+f2U5JM=&FilePath=93ZZBm8LWEXfg+HAlQix2fE2t8z/pgnoBhDlYdZCxzWF1OLE6RXe5MiAhSH8vdQ1,North Karanpura,Tandwa,Chatra,Jharkhand,Southern Asia,Asia,23.889479,85.00171,Exact,Coal Plant,Barh I power station,https://www.gem.wiki/Barh_I_power_station,,,,,,,,62.4,0.04,1.8,1.5,3.4,1.2,356
M0476,,India,Ananta Coal Mine,,,,https://www.gem.wiki/Ananta_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,7.9,19.3,2023,,Surface,Open Pit,14.2,50,Estimate,1381,Estimate,Lignite,Thermal,,,,,265,2022,,14,1989,,-,,Talcher,Jannagath,Angul,Odisha,Southern Asia,Asia,20.943609,85.163715,Exact,,,,,,,,,,,23.2,0.02,0.8,1.5,1.3,0.5,356
M0477,,India,Ashoka Coal Mine,"Piparwar Area, Ashok",,,https://www.gem.wiki/Ashoka_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,8,9.85,2023,,Surface,Open Pit,7.93,50,Estimate,854,Estimate,Subbituminous,Thermal,,,,,20,2022,213,2,2000,,-,,Piparwar,,Chatra,Jharkhand,Southern Asia,Asia,23.724268,85.037525,Exact,,,,,,,,,,,11.8,0.01,0.8,1.5,0.7,0.2,356
M0478,,India,Balaram Coal Mine,Balram,,,https://www.gem.wiki/Balaram_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,5,7.06,2023,,Surface,Open Pit,13.09,50,Estimate,1326,Exact,Subbituminous,Thermal,,,,,67,2022,,9,1991,,45,,Talcher,Hingula,Angul,Odisha,Southern Asia,Asia,20.962009,85.178092,Exact,,,,,,,,,,,8.5,0.01,0.8,1.5,0.5,0.2,356
M0479,,India,Baroud Coal Mine,,,,https://www.gem.wiki/Baroud_OC_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,4,1.17,2023,,Surface,Open Pit,11.1,50,Estimate,460,Estimate,Subbituminous,Thermal,,,,,108,2022,-,92,,,-,,Mand-Raigarh,Baroud,Raigarh,Chhattisgarh,Southern Asia,Asia,22.268463,83.345538,Exact,,,,,,,,,,,1.4,0.00,0.8,1.5,0.1,0,356
M0481,,India,Basundhara (West) Coal Mine,,,,https://www.gem.wiki/Basundhara_coal_mines,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,5,0.95,2023,,Surface,Open Pit,4.37,50,Estimate,405,Estimate,Lignite,Thermal,,,,,93,2013,-,98,2004,,,,Ib Valley,Mahalaxmi,Sundergarh,Odisha,Southern Asia,Asia,22.059284,83.7304,Exact,,,,,,,,,,,1.1,0.00,0.8,1.5,0.1,0,356
M0483,,India,Belpahar Coal Mine,,,,https://www.gem.wiki/Belpahar_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,5.38,8.98,2023,,Surface,Open Pit,14.44,50,Estimate,1024,Exact,Lignite,Thermal,,,,,12,2022,-,1,1992,,-,,Ib Valley,Lakhanpur,Sundergarh,Odisha,Southern Asia,Asia,21.75,83.8417,Exact,,,,,,,,,,,10.8,0.01,0.8,1.5,0.6,0.2,356
M0484,,India,Bharatpur Coal Mine,,,,https://www.gem.wiki/Bharatpur_coal_mine#Location,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,8,11.3,2023,,Surface,Open Pit,9.27,50,Estimate,1028,Estimate,Lignite,Thermal,,,,,81,2022,-,7,1985,,7,2022,Talcher,Bharatpur,Angul,Odisha,Southern Asia,Asia,20.95753,85.128911,Exact,,,,,,,,,,,13.6,0.01,0.8,1.5,0.7,0.3,356
M0485,,India,Bhatadi Coal Mine,,,,https://www.gem.wiki/Bhatadi_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,1.5,0.85,2023,,Surface,Open Pit,8.5,50,Estimate,316,Estimate,Subbituminous,Thermal,,,,,46,2019,56,54,1998,,-,,Wardha Valley,Bhatadi,Chandrapur,Maharashtra,Southern Asia,Asia,20.05738,79.267357,Exact,,,,,,,,,,,1,0.00,0.8,1.5,0.1,0,356
M0486,,India,Bhubaneswari Coal Mine,,,,https://www.gem.wiki/Bhubaneswari_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,10,23.46,2023,,Surface,Open Pit,6.58,50,Estimate,1007,Exact,Lignite,Thermal,,,,,397,2022,421,17,2006,,4,2022,Talcher,Jagannath,Angul,Odisha,Southern Asia,Asia,20.961693,85.160099,Exact,,,,,,,,,,,28.2,0.02,0.8,1.5,1.6,0.6,356
M0487,,India,Bijari Coal Mine,,,,https://www.gem.wiki/Bijari_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,1.8,1.47,2023,,Surface,Open Pit,2.73,50,Estimate,442,Estimate,Subbituminous,Thermal,,,,,18,2008,21,12,2019,,-,,Mand-Raigarh,Raigarh,Raigarh,Chhattisgarh,Southern Asia,Asia,22.2471,83.382797,Exact,,,,,,,,,,,1.8,0.00,0.8,1.5,0.1,0,356
M0488,,India,Bina Coal Mine,,,,https://www.gem.wiki/Bina_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,6,10.5,2023,,Surface,Open Pit,17.98,250,Exact,1230,Estimate,Lignite,Thermal,,,,,19,2022,-,2,2006,,10,,Singrauli,Bina,Singrauli / Bina,Madhya Pradesh,Southern Asia,Asia,24.1483,82.7476,Exact,Coal Plant,Anpara thermal power station,https://www.gem.wiki/Anpara_thermal_power_station,,,,,,,,45.7,0.03,2.9,1.5,2.5,0.9,356
