,Unit ID,Plant name,State,Region,Ownership,Age grouping,Age,Capacity,Avg daily generation,Actual avg PLF,Target PLF,Coeff of variation,Daily actual coal consumption - calc (tons/MW),Annual actual coal consumption (tons),Daily target coal consumption at 85%(tons/MW),Daily target generation,Not contracted in MERIT,Import share,Imported coal,Target SHR,Actual SHR,Efficiency,Actual coal used,Plant status,Wtd GCV,Pithead plant,Total,Auxiliary consumption (%),"Actual aux, MU",VC  - ACTUAL,Variation,TOTAL VC - ACTUAL,TOTAL VC - TARGET,INR/Mcal,FGD status - Jun 2020,Retirement by 2022,Retirement by 2027,Actual coal cost (INR crore),Target coal cost (INR crore),wtd PLF,FGD status - Feb 2021,Actual energy,Actual energy-coal cost,Actual energy-transport cost,Actual SHR.1,Actual INR/Mcal,Actual-cons,Actual age,Actual aux,Boiler design
60,MAHAN TPP2,MAHAN TPP,Madhya Pradesh,WR,PVT SECTOR, 0-5 years,1.67008898015058,600.0,4.72459152936628,0.3280966339837695,0.85,0.15,4.05288831605265,887582.5412155304,11.31428641844627,12.24,Not contracted,0.0,0.0,2594.141476646133,2766.667698634157,0.3315162290654484,949407.5531313195,Operational,3015176.218014481,N,887582.5412155304,0.09292095540535532,0.4390135588087636,1.8417872981006813,0.19805614215409847,317.6117823637823,814.9364172685849,0.5249367620772207,Unknown,N,N,293.8416376941434,713.7845519479677,196.8579803902617,Unknown,250.45004795744447,212.10863934616418,38.34140861128028,1339815.9142876694,4689358.151121025,3079221.819419532,58425.12023903484,1241110.6473489623,1
63,RAYALSEEMA TPS6,RAYALSEEMA TPS,Andhra Pradesh,SR,STATE SECTOR, 0-5 years,2.11635865845311,600.0,4.78788476503875,0.3324919975721354,0.85,0.15,5.0179290203268945,1098926.4554515898,12.218173110506502,12.24,Contracted,0.0,0.0,2597.551216635181,2768.624458007363,0.3310810560701967,1305599.9441140855,Operational,2223523.544098197,N,1098926.4554515898,0.10362859790133408,0.496161785114124,3.216104829158135,0.11246685861083114,562.0393849717232,1428.9930536398565,1.2339235495312717,Commitment yet to be received,N,N,404.0831827033095,969.1892156694487,199.49519854328122,Feasibility Study completed,597.0199691710934,198.74096157933747,398.27900759175594,1358725.1234172296,11170538.00275882,3120472.7743630325,75028.92016462638,1402671.1976361733,1
65,SINGARENI TPP2,SINGARENI TPP,Telangana,SR,STATE SECTOR, 0-5 years,3.42505133470225,600.0,12.4542142300969,0.8648759882011736,0.85,0.15,12.466600037666083,2730185.4082488725,12.259625951026694,12.24,Contracted,0.0,0.0,2607.550331449692,2602.6327581788437,0.32981146696481023,2760386.669484126,Operational,0.0,N,0.0,0.05805756344370992,0.7230613328054057,1.9523067353064048,0.005325684855402909,887.4772908393973,872.437747006524,0.6375348326737894,NIT issued,N,N,854.3396742053369,841.2313884537675,518.9255929207042,NIT issued,754.2685612663217,444.6093540117375,309.6592072545842,3322408.958094298,15012824.174534623,8116953.172073159,315848.74418263405,2044126.202539525,1
67,AKALTARA TPS2,AKALTARA TPS,Chhattisgarh,WR,PVT SECTOR, 0-5 years,2.33812457221081,600.0,9.14718773223809,0.6352213702943118,0.85,0.15,8.347166937140628,1828029.5592337975,11.335446445824777,12.24,Contracted,0.043831710939856224,80125.6632298486,2609.1277319935575,2680.127361349723,0.32961207282209193,2091318.9888804336,Operational,2567242.2939552926,N,1828029.5592337972,0.0800306361552132,0.7320552532421764,1.8171251665440429,0.08261214812043971,606.6878536443759,808.5675604780726,0.5332419280097856,Feasiblity Study Completed,N,N,666.8431037551115,868.6751501690684,381.13282217658707,Feasiblity Study Completed,477.15576939657814,375.3535197704496,101.8022496261285,2512851.882358817,9222613.968226958,5961620.147765916,158361.99927476168,2069552.4113467752,1
69,ANPARA TPS7,ANPARA TPS,Uttar Pradesh,NR,STATE SECTOR, 0-5 years,4.17522245037645,600.0,7.26843897893603,0.5047527068705576,0.85,0.15,7.479858457617803,1638089.0022182988,12.283387621115674,12.24,Contracted,0.0,0.0,2613.2820416153318,2727.410853601883,0.329088091642957,1611841.6482311497,Operational,2693478.136999966,Pithead plant,1638089.0022182988,0.0932557702539878,0.6778238755247881,1.586202628039437,0.15212805341317148,420.8164208698404,703.4255968284799,0.38158009247456304,Bid Awarded,N,N,498.8649901275408,804.9316705041193,302.85162412233456,Bid Awarded,276.1024666306423,273.02936679401347,3.0730998366288396,2031961.9843890443,5244076.348426079,4737157.859668194,224706.9501431511,1916237.9203590988,1
70,SEIONI TPP1,SEIONI TPP,Madhya Pradesh,WR,PVT SECTOR, 0-5 years,4.17522245037645,600.0,6.94086002648445,0.4820041685058646,0.85,0.15,6.27360011878832,1373918.426014642,11.393636521115674,12.24,Contracted,0.0,0.0,2613.2820416153318,2734.9308652273457,0.329088091642957,1776307.8823728918,Operational,2340375.325032613,N,1373918.426014642,0.06561123596254202,0.45539840498064693,2.235251723351908,0.11506789062200286,566.2817807546464,993.0504075099158,0.7657753388522778,Feasibility Study completed,N,N,549.76728959441,926.3752839521561,289.2025011035187,Feasibility Study completed,530.5836699926385,272.55926393770574,258.02440605493274,1945734.162559639,10049785.923616294,4523660.406671068,214579.70445122157,1287431.3284101079,1
71,SINGARENI TPP1,SINGARENI TPP,Telangana,SR,STATE SECTOR, 0-5 years,4.17522245037645,600.0,12.5501244380881,0.8715364193116736,0.85,0.15,12.583030283924781,2755683.632179527,12.283387621115674,12.24,Contracted,0.0,0.0,2613.2820416153318,2606.1627216397683,0.329088091642957,2785417.232572839,Operational,0.0,N,0.0,0.05805756344370992,0.7286296457907542,1.9582231985871585,0.00768686047297642,897.0219859234206,875.1818105085082,0.6375348326737894,NIT issued,N,N,862.0866334812937,843.0805165195621,522.9218515870042,NIT issued,761.1080982838433,448.64097125161595,312.4671270322273,3352535.8124047588,15128438.300204253,8179462.026715072,387992.55171192443,2059868.0683548767,1
72,ANUPPUR TPP2,ANUPPUR TPP,Madhya Pradesh,WR,PVT SECTOR, 0-5 years,4.17522245037645,600.0,9.1933028096474,0.638423806225514,0.85,0.15,8.449913464273118,1850531.0486758128,11.393636521115674,12.24,Not contracted,0.0029234423533710946,5409.920843927098,2613.9411480651765,2683.8821443326406,0.329005111930912,2131858.2045941115,Operational,2534666.3881835435,N,1850531.0486758128,0.06796522316843334,0.6248248771126709,1.8442009664712347,0.08018557461628475,618.8318743214276,820.7124227327124,0.5582038336861919,Technical Bid under evaluation,N,N,661.1413473933229,857.3073271577524,383.0542837353084,Bid opened,502.71365910349266,345.07315612363465,157.64050297985804,2529058.478971215,9703011.102627259,5991675.349719431,284214.9520804983,1766407.4198921134,1
73,RAGHUNATHPUR TPP2,RAGHUNATHPUR TPP,West Bengal,ER,CENTRAL SECTOR, 0-5 years,4.33949349760438,600.0,5.67032270052576,0.3937724097587333,0.85,0.15,5.940959575232803,1301070.1469759839,12.28859090653662,12.24,Contracted,0.0,0.0,2614.537160629706,2765.352862608869,0.328930111589185,1208172.0356029705,Operational,2842324.55336846,N,1301070.1469759836,0.07889945457496544,0.44738536833552756,1.962269587980265,0.16250269340205853,406.1246153085676,869.7572727669016,0.5992396863209807,Bid Awarded,N,N,373.9292450191194,763.145483251014,236.26344585523998,Bid Awarded,342.96654912697625,277.8978209199296,65.06872820704672,1607245.4189610337,6424665.066880562,3695595.9629701106,182197.55929124742,1264778.1212407432,1
74,KAKATIYA TPS2,KAKATIYA TPS,Telangana,SR,STATE SECTOR, 0-5 years,4.42436687200547,600.0,11.2045735285322,0.7780953839258471,0.85,0.15,11.290848775846262,2472695.8819103315,12.291279270670774,12.24,Contracted,0.0,0.0,2615.185638787132,2638.9552340083037,0.3288485479749154,2518071.4663210665,Operational,0.0,Pithead plant,0.0,0.05762669839553867,0.6456825793793615,1.8986557937949329,0.026469651532171377,776.4874383136382,847.1549837388204,0.6039216229589296,Feasiblity Study completed,N,N,779.3431188263701,843.6946429939686,466.85723035550825,Feasibility Study completed,651.7796519375577,405.58018207124087,246.1994698663168,3030757.7156899706,12794345.041657614,7302507.967492926,367064.3442636516,1825373.0619389478,1
