,Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Owner,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Subregion,Region,Previous Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Alternate Fuel,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR
142,G100500,L102033,P104508,https://www.gem.wiki/Bander_power_station,India,Andhra Pradesh,Unit 1,Bander power station,,"Sembcorp Gayatri Power Complex, Thermal Powertech Corporation India, Pynampuram (Painampuram) power station",Sembcorp Energy India,Tanweer Infrastructure,660.0,operating,2015.0,,,supercritical,unknown,Mahanadi Coal Fields,Painampuram,Muthukur,Nellore,Southern Asia,Asia,South Asia,14.351195,80.143086,exact,EC 4 Nov 2009 at http://bit.ly/1kopZNe,,,,,8409,"96,100",53%,2.6,86.2,33,4.61612784400043,3.43,10.610164597574489
143,G100501,L102033,P104508,https://www.gem.wiki/Bander_power_station,India,Andhra Pradesh,Unit 2,Bander power station,,"Sembcorp Gayatri Power Complex, Thermal Powertech Corporation India, Pynampuram (Painampuram) power station",Sembcorp Energy India,Tanweer Infrastructure,660.0,operating,2015.0,,,supercritical,unknown,Mahanadi Coal Fields,Painampuram,Muthukur,Nellore,Southern Asia,Asia,South Asia,14.351195,80.143086,exact,EC 4 Nov 2009 at http://bit.ly/1kopZNe,,,,,8409,"96,100",53%,2.6,86.2,33,4.61612784400043,3.43,10.610164597574489
153,G100585,L102616,P100762,https://www.gem.wiki/Bara_Thermal_Power_Project,India,Uttar Pradesh,"Phase I, Unit 1",Bara Thermal Power Project,,Prayagraj TPP,Jaiprakash Power Ventures Ltd,Jaypee Group,660.0,operating,2015.0,,,supercritical,unknown,,,Bara,Allahabad,Southern Asia,Asia,South Asia,25.196345,81.6585338,exact,EC 8 Sept 2009 at http://bit.ly/SspBl4,,,,,8409,"96,100",53%,2.6,86.2,33,4.56300863433406,2.04,10.602980879388877
154,G100586,L102616,P100762,https://www.gem.wiki/Bara_Thermal_Power_Project,India,Uttar Pradesh,"Phase I, Unit 2",Bara Thermal Power Project,,Prayagraj TPP,Jaiprakash Power Ventures Ltd,Jaypee Group,660.0,operating,2016.0,,,supercritical,unknown,,,Bara,Allahabad,Southern Asia,Asia,South Asia,25.196345,81.6585338,exact,EC 8 Sept 2009 at http://bit.ly/SspBl4,,,,,8409,"96,100",53%,2.6,88.8,34,4.56300863433406,2.04,10.602661093186661
155,G100587,L102616,P100762,https://www.gem.wiki/Bara_Thermal_Power_Project,India,Uttar Pradesh,"Phase I, Unit 3",Bara Thermal Power Project,,Prayagraj TPP,Jaiprakash Power Ventures Ltd,Jaypee Group,660.0,operating,2017.0,,,supercritical,unknown,,,Bara,Allahabad,Southern Asia,Asia,South Asia,25.196345,81.6585338,exact,EC 8 Sept 2009 at http://bit.ly/SspBl4,,,,,8409,"96,100",53%,2.6,91.4,35,4.56300863433406,2.04,10.59912352432643
174,G100623,L102092,P101047,https://www.gem.wiki/Barh_I_power_station,India,Bihar,Unit 1,Barh I power station,,,NTPC Ltd,NTPC,660.0,operating,2021.0,,,supercritical,unknown,,Barh,,Patna,Southern Asia,Asia,South Asia,25.4693,85.74516,exact,EC 9/11/01 at http://bit.ly/1a8HOgd,,,,,8409,"96,100",53%,2.6,101.9,39,2.97652519250697,1.87,10.4304678768578
177,G100626,L102093,P101047,https://www.gem.wiki/Barh_II_power_station,India,Bihar,Unit 1,Barh II power station,,Barh power station Unit 4,NTPC Ltd,NTPC,660.0,operating,2014.0,,,supercritical,unknown,,Barh,,Patna,Southern Asia,Asia,South Asia,25.4865,85.74516,exact,EC: 10/23/2007 at http://bit.ly/1a8GKc5,,,,,8409,"96,100",53%,2.6,83.6,32,2.97652519250697,1.87,10.550837797035129
178,G100627,L102093,P101047,https://www.gem.wiki/Barh_II_power_station,India,Bihar,Unit 2,Barh II power station,,Barh power station Unit 5,NTPC Ltd,NTPC,660.0,operating,2015.0,,,supercritical,unknown,,Barh,,Patna,Southern Asia,Asia,South Asia,25.4865,85.74516,exact,EC: 10/23/2007 at http://bit.ly/1a8GKc5,,,,,8409,"96,100",53%,2.6,86.2,33,2.97652519250697,1.87,10.537640205384978
191,G100741,L102293,P100845,https://www.gem.wiki/Bellary_Thermal_Power_Station,India,Karnataka,Unit 3,Bellary Thermal Power Station,,,Karnataka Power Corp Ltd,KPCL,700.0,operating,2016.0,,,supercritical,unknown,,Kudatini,Bellary,Bellary,Southern Asia,Asia,South Asia,15.19317384,76.7195034,exact,TOR 4/10/08; EC 11/17/09 at http://bit.ly/1fybFfE,,,,,8409,"96,100",53%,2.8,94.2,34,2.96625581567932,3.46,10.537731221576362
363,G101452,L102524,P101182,https://www.gem.wiki/Chhabra_Thermal_Power_Station,India,Rajasthan,Unit 5,Chhabra Thermal Power Station,,,Rajasthan RV Utpadan Nigam,Rajasthan RV Utpadan Nigam,660.0,operating,2017.0,,,supercritical,sub-bit,,Chowki-Motipura,Chhabra,Baran,Southern Asia,Asia,South Asia,24.63433,77.0385039,exact,EC 23 May 2012 at http://bit.ly/TORwxp,,,,,8409,"96,100",53%,2.6,91.4,35,5.0,2.8,10.606117739580288
