,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
2,G100034,https://www.gem.wiki/Adani_Korba_West_power_station,India,Chhattisgarh,Unit 1,Adani Korba West power station,600.0,2014.0,subcritical,operating,21.7437751,83.2740927,8702,32,1.58139118801547,1.59,11.1288302040705,10.97289687421519,10.898088349639238
6,G100041,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 1,Aditya Aluminium power station,150.0,2014.0,subcritical,operating,21.7400679,84.0605915,10442,32,0.430880615155386,1.66,13.040959373245336,12.678573301622613,12.572039678326119
7,G100042,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 2,Aditya Aluminium power station,150.0,2014.0,subcritical,operating,21.7400679,84.0605915,10442,32,0.430880615155386,1.66,13.040959373245336,12.678573301622613,12.572039678326119
8,G100043,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 3,Aditya Aluminium power station,150.0,2014.0,subcritical,operating,21.7400679,84.0605915,10442,32,0.430880615155386,1.66,13.040959373245336,12.678573301622613,12.572039678326119
9,G100044,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 4,Aditya Aluminium power station,150.0,2014.0,subcritical,operating,21.7400679,84.0605915,10442,32,0.430880615155386,1.66,13.040959373245336,12.678573301622613,12.572039678326119
10,G100045,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 5,Aditya Aluminium power station,150.0,2014.0,subcritical,operating,21.7400679,84.0605915,10442,32,0.430880615155386,1.66,13.040959373245336,12.678573301622613,12.572039678326119
11,G100046,https://www.gem.wiki/Aditya_Aluminium_power_station,India,Odisha,Unit 6,Aditya Aluminium power station,150.0,2014.0,subcritical,operating,21.7400679,84.0605915,10442,32,0.430880615155386,1.66,13.040959373245336,12.678573301622613,12.572039678326119
14,G100086,https://www.gem.wiki/Ajmer_power_station,India,Rajasthan,Unit 1,Ajmer power station,150.0,2011.0,subcritical,operating,26.073889,74.385,11313,29,5.0,2.8,13.121000483855353,12.777481683767844,12.690042704190992
15,G100087,https://www.gem.wiki/Ajmer_power_station,India,Rajasthan,Unit 2,Ajmer power station,150.0,2012.0,subcritical,operating,26.073889,74.385,11313,30,5.0,2.8,13.102960085800055,12.764460010885513,12.718852956591734
16,G100094,https://www.gem.wiki/Akrimota_Power_Project,India,Gujarat,Unit 1,Akrimota Power Project,125.0,2007.0,subcritical,operating,23.7724998,68.6455556,11313,25,4.67631704483643,3.7,13.319661024988056,13.038595065136713,13.091590230638326
17,G100095,https://www.gem.wiki/Akrimota_Power_Project,India,Gujarat,Unit 2,Akrimota Power Project,125.0,2006.0,subcritical,operating,23.7724998,68.6455556,11313,24,4.67631704483643,3.7,13.362161752473222,13.073860081866515,13.157633700340563
22,G100154,https://www.gem.wiki/Ambujanagar_Cement_Plant_power_station,India,Gujarat,Unit 1,Ambujanagar Cement Plant power station,30.0,2007.0,subcritical,operating,20.8354547,70.6955395,11313,25,5.0,3.7,13.428423801386003,13.143670723425732,13.203037625963283
23,G100155,https://www.gem.wiki/Ambujanagar_Cement_Plant_power_station,India,Gujarat,Unit 2,Ambujanagar Cement Plant power station,30.0,2007.0,subcritical,operating,20.8354547,70.6955395,11313,25,5.0,3.7,13.428423801386003,13.143670723425732,13.203037625963283
24,G114788,https://www.gem.wiki/Ambujanagar_Cement_Plant_power_station,India,Gujarat,Unit 3,Ambujanagar Cement Plant power station,30.0,2010.0,subcritical,operating,20.8354547,70.6955395,11313,28,5.0,3.7,13.383538699366667,13.06195949122609,13.070875683461647
26,G100166,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 1",Amravati Thermal Power Project,270.0,2013.0,subcritical,operating,21.0803156,77.9012418,10442,31,3.081628335274,2.38,12.43588212543053,12.388299166811658,12.259947024089369
27,G100167,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 2",Amravati Thermal Power Project,270.0,2014.0,subcritical,operating,21.0803156,77.9012418,10442,32,3.081628335274,2.38,12.408612754747274,12.345596277087502,12.281228652947048
28,G100168,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 3",Amravati Thermal Power Project,270.0,2015.0,subcritical,operating,21.0803156,77.9012418,10442,33,3.081628335274,2.38,12.407879206746575,12.343105428061662,12.270148364934512
29,G100169,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 4",Amravati Thermal Power Project,270.0,2015.0,subcritical,operating,21.0803156,77.9012418,10442,33,3.081628335274,2.38,12.407879206746575,12.343105428061662,12.270148364934512
30,G100170,https://www.gem.wiki/Amravati_Thermal_Power_Project,India,Maharashtra,"Phase I, Unit 5",Amravati Thermal Power Project,270.0,2015.0,subcritical,operating,21.0803156,77.9012418,10442,33,3.081628335274,2.38,12.407879206746575,12.343105428061662,12.270148364934512
40,G100212,https://www.gem.wiki/Angul_power_station,India,Odisha,"Phase I, Unit 1",Angul power station,600.0,2014.0,subcritical,operating,21.1270438,84.9805516,8702,32,2.19738830026583,1.66,11.13639501423961,10.94110689353739,10.86088705728349
41,G100213,https://www.gem.wiki/Angul_power_station,India,Odisha,"Phase I, Unit 2",Angul power station,600.0,2015.0,subcritical,operating,21.1270438,84.9805516,8702,33,2.19738830026583,1.66,11.084783067524363,10.892290106469941,10.8194027433302
44,G100216,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 1,Angul Smelter power station,120.0,1985.0,subcritical,operating,20.84902641,85.19021988,12618,3,1.25523041845347,1.66,13.783718335310265,13.611000009742893,13.398998833727806
45,G100217,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 10,Angul Smelter power station,120.0,2010.0,subcritical,operating,20.84902641,85.19021988,11313,28,1.25523041845347,1.66,13.152384350147658,12.85170524239023,12.915055544336349
48,G100220,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 2,Angul Smelter power station,120.0,1985.0,subcritical,operating,20.84902641,85.19021988,12618,3,1.25523041845347,1.66,13.783718335310265,13.611000009742893,13.398998833727806
49,G100221,https://www.gem.wiki/Angul_Smelter_power_station,India,Odisha,Unit 3,Angul Smelter power station,120.0,1985.0,subcritical,operating,20.84902641,85.19021988,12618,3,1.25523041845347,1.66,13.783718335310265,13.611000009742893,13.398998833727806
